,language_initial,koryakov_db_id,eng_vil_name,rus_vil_name,lang_1_K,lang_2_K,lang_1_S,lang_2_S,same_languages,name_1885,name_1895,name_1926,name_2010,census_1885,census_1895,census_1926,census_2010,Lat,Lon,Republic,Region,elevation,LevK_comments,kutans,Family,language
60,Avar ,45.0,Ashil'ta,Ашильта,Avar,,Avar,,True,Ашильта (Ашель),Ашильта (Ашель),Ашильта,Ашильта,443.0,478.0,586.0,1982.0,42.772446,46.728853,Daghestan,,640.283020019531,,not_kutan,Avar,Avar 
61,Avar ,1129.0,Baginub,Багинуб,Avar,,Avar,,True,Багинуб (Багин),Баггинуб (Баггин),Багинуб,Багинуб,101.0,132.0,121.0,40.0,42.1743,46.88159,Daghestan,,1917.81408691406,,not_kutan,Avar,Avar 
62,Avar ,47.0,Baitl',Баитль,Avar,,Avar,,True,Баитль,Баитль,Бойтли,Баитль,165.0,176.0,144.0,202.0,42.546452,46.676472,Daghestan,,1783.91552734375,,not_kutan,Avar,Avar 
63,Avar ,1057.0,Balanub,Балануб,Avar,,Avar,,True,,,Баланаб,Балануб,,,120.0,115.0,42.4284,46.8251,Daghestan,,1032.0556640625,,not_kutan,Avar,Avar 
64,Avar ,53.0,Balakhani,Балахани,Avar,,Avar,,True,Балакани (Балахани),Балаканы (Балаханы),Балаханы,Балахани,898.0,904.0,1000.0,2166.0,42.63128,46.895140000000005,Daghestan,,889.520141601563,,not_kutan,Avar,Avar 
65,Avar ,4107.0,Barnab,Барнаб,Avar,,Avar,,True,Барнаб,Барнабъ (Баркабъ),Барнаб,Барнаб,97.0,103.0,93.0,400.0,42.079640000000005,46.37894,Daghestan,,1709.30212402344,,not_kutan,Avar,Avar 
66,Avar ,51.0,Batlaich,Батлаич,Avar,,Avar,,True,Батлаич,Батлаичъ (Батлагичъ),Батлаич,Батлаич,772.0,788.0,770.0,1083.0,42.554821000000004,46.754217,Daghestan,,1764.7399902343802,,not_kutan,Avar,Avar 
67,Avar ,939.0,Batsada,Бацада,Avar,,Avar,,True,Бацада,Бацада (Бецъ),Бацада,Бацада,725.0,835.0,877.0,755.0,42.3036,46.9092,Daghestan,,1580.35974121094,,not_kutan,Avar,Avar 
68,Avar ,4165.0,Bezhuda,Бежуда,Avar,,Avar,,True,Бижида (Бежуда),Бежуда (Бежида),Бежуда,Бежуда,142.0,148.0,100.0,31.0,42.200348,46.479175,Daghestan,,2288.99243164062,,not_kutan,Avar,Avar 
69,Avar ,63.0,Betli,Бетли,Avar,,Avar,,True,Бетль,Бетль (Бетлитль),Бетль,Бетли,311.0,335.0,283.0,18.0,42.72372,46.73388,Daghestan,,1770.96838378906,,not_kutan,Avar,Avar 
70,Avar ,1091.0,Bol'shoy Urala,Большой Урала,Avar,,Avar,,True,,,Урала,Большой Урала,,,250.0,173.0,42.424277000000004,46.805844,Daghestan,,1331.03063964844,,not_kutan,Avar,Avar 
71,Avar ,4271.0,Bochokh,Бочох,Avar,,Avar,,True,Бочок (Бочох),"Бочокъ (Бочохъ, Бочекъ)",Бочах,Бочох,40.0,49.0,28.0,81.0,42.22,46.28472,Daghestan,,1851.0612792968802,,not_kutan,Avar,Avar 
72,Avar ,3481.0,Bukhty,Бухты,Avar,,Avar,,True,Бухти,Бухты (Бухтылю),Бухты,Бухты,548.0,580.0,726.0,994.0,42.240712,46.985633,Daghestan,,1802.7790527343802,,not_kutan,Avar,Avar 
73,Avar ,67.0,Butsra,Буцра,Avar,,Avar,,True,Буцра,Бурца,Буцра,Буцра,682.0,675.0,614.0,1429.0,42.58902,46.7677,Daghestan,,1599.2099609375,,not_kutan,Avar,Avar 
