language_initial,eng_vil_name,Lat,Lon,Family
Avar ,Rosnob,42.055,46.41194,Avar
Avar ,Rosta,42.200559999999996,46.39667,Avar
Avar ,Rosutl',42.41533,46.8308,Avar
Avar ,Rugel'da,42.3175,46.5244,Avar
Avar ,Rugudzha,42.3606,46.9139,Avar
Avar ,Rul'dab,42.18472,46.85028,Avar
Avar ,Sabda,42.311355,46.371346,Avar
Avar ,Salda,41.97497,46.50848,Avar
Avar ,Salta,42.39589,47.070479999999996,Avar
Avar ,Saniorta,42.03195,46.44246,Avar
Avar ,Sasitli,42.496173,45.996762,Avar
Avar ,Sachada,42.258410999999995,46.699595,Avar
Avar ,Sekh,42.416094,46.826446999999995,Avar
Avar ,Sikar,42.07966,46.41127,Avar
Avar ,Silta,42.38728,47.07127,Avar
Avar ,Sil'di,42.4552,45.92715,Avar
Avar ,Sinida,42.20341,46.39071,Avar
Avar ,Sogratl',42.2808,46.9914,Avar
Avar ,Sodab,42.215081,46.81015,Avar
Avar ,Somoda,42.30272,46.5368,Avar
Avar ,Sredniy Aradirikh,42.68121,46.580220000000004,Avar
Avar ,Sumeta,42.262025,46.705541,Avar
Avar ,Tagada,42.497572999999996,46.868389,Avar
Avar ,Tadiyal,42.11099,46.4823,Avar
Avar ,Talsukh,42.04741,46.40589,Avar
Avar ,Talukh,42.25652,46.74433,Avar
Avar ,Tamuda,42.21001,46.382,Avar
Avar ,Tando,42.707696,46.175693,Avar
Avar ,Tanusi,42.58233,46.69233,Avar
Avar ,Tasuta,42.71731,46.22568,Avar
Avar ,Teletl',42.4289,46.7317,Avar
Avar ,Tidib,42.3889,46.5742,Avar
Avar ,Tilanib,42.310964,46.366528,Avar
Avar ,Tilutl',42.109079,46.350054,Avar
Avar ,Tinchuda,42.198609999999995,46.45306,Avar
Avar ,Tlaylukh,42.6208,46.52428,Avar
Avar ,Tlobzoda,42.17944,46.371109999999994,Avar
Avar ,Tlogob,42.4189,46.8153,Avar
Avar ,Tlokh,42.6492,46.4578,Avar
Avar ,Tlyanada,42.02864,46.51038,Avar
Avar ,Tlyarosh,42.275317,46.751805,Avar
Avar ,Tlyakh,42.389928000000005,46.540021,Avar
Avar ,Tokh,42.222291999999996,46.291546000000004,Avar
Avar ,Tokhota,42.0178,46.4639,Avar
Avar ,Tumagari,42.58165,46.60662,Avar
Avar ,Tunzi,42.46888,46.97573,Avar
Avar ,Uzdalroso,42.48612,46.85577,Avar
Avar ,Ukal,42.121629999999996,46.34771,Avar
Avar ,Ul'geb,41.964253,46.523688,Avar
Avar ,Unkida,42.328697999999996,46.885731,Avar
Avar ,Unty,42.311452,46.944631,Avar
Avar ,Untsukul',42.7131,46.7875,Avar
Avar ,Urada,42.3822,46.5617,Avar
Avar ,Urib,42.4564,46.6736,Avar
Avar ,Urma,42.5383,47.2869,Avar
Avar ,Urukh-Sota,42.24222,46.67694,Avar
Avar ,Urchiab,42.657739,47.016338,Avar
Avar ,Urchukh,42.325548,46.495518,Avar
Avar ,Utlukh,42.267533,46.730055,Avar
Avar ,Khadakolob,42.231683000000004,46.261819,Avar
Avar ,Khadiyal,42.0989,46.4653,Avar
Avar ,Khamagib,42.402538,46.850421999999995,Avar
Avar ,Khamakal,42.428109,46.674496999999995,Avar
Avar ,Khamar,42.095867999999996,46.383695,Avar
Avar ,Khantakolob,42.219440000000006,46.29083,Avar
Avar ,Kharada,42.222648,46.258528000000005,Avar
Avar ,Kharakhi,42.6433,46.5211,Avar
Avar ,Kharachi,42.677440000000004,46.82263,Avar
Avar ,Kharikolo,42.5451,46.80847,Avar
Avar ,Khakhita,42.4667,47.2642,Avar
Avar ,Khatsunob,42.425999,46.802058,Avar
Avar ,Khvarada,42.46889,46.99406,Avar
Avar ,Khvartikuni,42.4569,47.0067,Avar
Avar ,Khebdib,42.43,46.86,Avar
Avar ,Kheleturi,42.612495,46.225441,Avar
Avar ,Khidib,42.17812,46.36299,Avar
Avar ,Khimakoro,42.590092,46.617523,Avar
Avar ,Khini,42.52767,46.70496,Avar
Avar ,Khintida,42.220546999999996,46.275395,Avar
Avar ,Khinub,42.17454,46.824059999999996,Avar
Avar ,Khobokh,42.204624,46.379234000000004,Avar
Avar ,Khopor,42.352716,46.937396,Avar
Avar ,Khorta,42.193290000000005,46.359759999999994,Avar
Avar ,Khorta,42.193290000000005,46.359759999999994,Avar
Avar ,Khorta,42.193290000000005,46.359759999999994,Avar
Avar ,Khorta,42.193290000000005,46.359759999999994,Avar
Avar ,Khotlob,42.201243,46.432755,Avar
Avar ,Khotoda,42.39393,46.559446,Avar
Avar ,Khotoch,42.408408,46.954024,Avar
Avar ,Khunzakh,42.5394,46.705,Avar
Avar ,Khurukh,42.18441,46.85807,Avar
Avar ,Khuchada,42.400234999999995,46.469178,Avar
Avar ,Tsada,42.56694,46.7125,Avar
Avar ,Tsalada,42.42472,46.81472,Avar
Avar ,Tsalkita,42.617979999999996,46.57339,Avar
Avar ,Tsanatl',42.72244,46.62252,Avar
Avar ,Tsatanikh,42.667792999999996,46.723937,Avar
Avar ,Tsel'mes,42.623464,46.538548999999996,Avar
Avar ,Tsemer,42.15195,46.752959999999995,Avar
Avar ,Tseneb,42.206684,46.842652,Avar
Avar ,Tsilitl',42.8125,46.4156,Avar
Avar ,Tsimguda,42.01269,46.5665,Avar
Avar ,Tsoloda,42.63827,46.36626,Avar
Avar ,Tsulda,42.27357,46.72095,Avar
Avar ,Tsumilukh,42.059740000000005,46.412420000000004,Avar
Avar ,Tsundi,42.740996,46.436577,Avar
Avar ,Chadakolob,42.19182,46.31981,Avar
Avar ,Chalda,42.538206,46.920351000000004,Avar
Avar ,Chanab,42.125345,46.904340000000005,Avar
Avar ,Charoda,42.2764,46.8019,Avar
Avar ,Chvadab,42.13028,46.87639,Avar
Avar ,Chirkata,42.783992,46.716609000000005,Avar
Avar ,Chitab,42.10412,46.86914,Avar
Avar ,Chitl',42.722594,46.504009,Avar
Avar ,Chododa,42.193439,46.314784,Avar
Avar ,Chondotl',42.547748999999996,46.659112,Avar
Avar ,Choroda,41.980959999999996,46.496959999999994,Avar
Avar ,Chokh,42.3206,47.0336,Avar
Avar ,Chvadab,42.13028,46.87639,Avar
Avar ,Chuni,42.34832,47.30303,Avar
Avar ,Chunib,42.20496,46.82498,Avar
Avar ,Shabdukh,42.75612,46.42139,Avar
Avar ,Shangoda,42.246859,47.000153000000005,Avar
Avar ,Shidib,42.214353,46.300745,Avar
Avar ,Shidib,42.214353,46.300745,Avar
Avar ,Shodroda (Shadroda),42.678426,46.12155,Avar
Avar ,Shotota,42.58165,46.577290000000005,Avar
Avar ,Shulatuta,42.63167,46.858059999999995,Avar
Avar ,Shushanovka,43.20156,46.98195,Avar
Avar ,Ebuta,42.59275,46.66626,Avar
Avar ,Egeda,42.409124,46.844276,Avar
Avar ,Enseruda,42.40611,46.852779999999996,Avar
Bagvalal ,Gimerso,42.561489,46.227545,Andic
Bagvalal ,Kvanada,42.561478,46.173970000000004,Andic
Bagvalal ,Tlibisho,42.56054,46.30101,Andic
Bagvalal ,Tlisi,42.562090000000005,46.27428,Andic
Bagvalal ,Tlondoda,42.5247,46.1989,Andic
Bagvalal ,Khushtada,42.517389,46.166126,Andic
Bezhta ,Bezhta,42.1339,46.1247,Tsezic
Bezhta ,Tlyadal,42.125339000000004,46.237246999999996,Tsezic
Botlikh ,Botlikh,42.667813,46.221451,Andic
Botlikh ,Miarso,42.654059000000004,46.175643,Andic
Chamalal ,Agvali,42.541191999999995,46.121798,Andic
Chamalal ,Agvali,42.541191999999995,46.121798,Andic
Chamalal ,Batlakhatli,42.580364,46.058877,Andic
Chamalal ,Gadiri,42.566265,46.065746000000004,Andic
Chamalal ,Gachitli,42.551361,46.088803000000006,Andic
Chamalal ,Gigatl',42.58136,46.0964,Andic
Chamalal ,Gigikh,42.532529,46.101766999999995,Andic
Chamalal ,Nizhnie Gakvari,42.53602,46.05171,Andic
Chamalal ,Richaganikh,42.497240000000005,46.05853,Andic
Chamalal ,Tsidatl',42.51855,46.05795,Andic
Chamalal ,Tsuydi,42.523340000000005,46.07182,Andic
Chamalal ,Tsumada,42.48187,46.05247,Andic
Chamalal ,Tsumada-Urukh,42.474208000000004,46.063466999999996,Andic
Dargwa амухский,Anklukh,41.91667,47.53333,Dargwa
Dargwa гапш.,Gapshima,42.2122,47.3261,Dargwa
Dargwa ицар.,Itsari,41.99733,47.5833,Dargwa
Dargwa кадар.,Kadar,42.6242,47.2903,Dargwa
Dargwa кадар.,Karamakhi,42.618786,47.256653,Dargwa
Dargwa кадар.,Kachkalyk,42.618520000000004,47.333909999999996,Dargwa
Dargwa кайт.,Adaga,42.00972,47.713570000000004,Dargwa
Dargwa кайт.,Bazhluk,42.040295,47.808314,Dargwa
Dargwa кайт.,Barshamay,42.11176,47.85143,Dargwa
Dargwa кайт.,Varsit,41.992062,47.82111,Dargwa
Dargwa кайт.,Gaziya,42.085935,47.817633,Dargwa
Dargwa кайт.,Gul'dy,42.07113,47.68936,Dargwa
Dargwa кайт.,Daknisa,42.087579999999996,47.727109999999996,Dargwa
Dargwa кайт.,Dzhavgat,42.0506,47.9375,Dargwa
Dargwa кайт.,Dzhibakhni,42.06051,47.90847,Dargwa
Dargwa кайт.,Dzhigiya,42.06139,47.795970000000004,Dargwa
Dargwa кайт.,Dzhinabi,42.070864,47.860318,Dargwa
Dargwa кайт.,Dzhirabachi,42.09091,47.73513,Dargwa
Dargwa кайт.,Duregi,42.03585,47.765409999999996,Dargwa
Dargwa кайт.,Karatsan,42.0886,47.8683,Dargwa
Dargwa кайт.,Kartalay,42.08709,47.858340000000005,Dargwa
Dargwa кайт.,Kirki,41.96917,47.81333,Dargwa
Dargwa кайт.,Kirtsik,42.001290000000004,47.84068,Dargwa
Dargwa кайт.,Kulegu,42.070029999999996,47.884009999999996,Dargwa
Dargwa кайт.,Kulidzha,42.054682,47.772754,Dargwa
Dargwa кайт.,Lischa,42.072834,47.740462,Dargwa
Dargwa кайт.,Mashaty,42.053979999999996,47.88286,Dargwa
Dargwa кайт.,Mizhigli,42.0697,47.799890000000005,Dargwa
Dargwa кайт.,Pilyaki,42.00537,47.85667,Dargwa
Dargwa кайт.,Ruka,42.047509999999996,47.923120000000004,Dargwa
Dargwa кайт.,Surgiya,42.077112,47.717301,Dargwa
Dargwa кайт.,Surkhavkent,41.983999,47.827576,Dargwa
Dargwa кайт.,Turaga,41.96152,47.80188,Dargwa
Dargwa кайт.,Khadagi,42.08067,47.897259999999996,Dargwa
Dargwa кайт.,Khungiya,42.09321,47.80518,Dargwa
Dargwa кайт.,Shilansha,41.97502,47.78696,Dargwa
Dargwa кайт.,Shilyagi,42.0486,47.7903,Dargwa
Dargwa кайт.,Shuragat,41.991859999999996,47.839940000000006,Dargwa
Dargwa кубач-ашт.,Ashty,41.961098,47.502559000000005,Dargwa
Dargwa кубач-ашт.,Kubachi,42.0856,47.6031,Dargwa
Dargwa кункинский,Kunki,41.95923,47.47173,Dargwa
Dargwa мегеб,Megeb,42.2528,47.0472,Dargwa
Dargwa муиринский,Buskri,42.173590000000004,47.66673,Dargwa
Dargwa муиринский,Vikri,42.20612,47.679702,Dargwa
Dargwa муиринский,Gunakari,42.17776,47.69262,Dargwa
Dargwa муиринский,Deybuk,42.20532,47.51996,Dargwa
Dargwa муиринский,Dzhurmachi,42.09049,47.69572,Dargwa
Dargwa муиринский,Dibgalik,42.120363,47.652521,Dargwa
Dargwa муиринский,Dibgashi,42.1617,47.6944,Dargwa
Dargwa муиринский,Zil'bachi,42.139973,47.717838,Dargwa
Dargwa муиринский,Zubanchi,42.13309,47.70417,Dargwa
Dargwa муиринский,Iragi,42.11889,47.75336,Dargwa
Dargwa муиринский,Iraki,42.16405,47.71739,Dargwa
Dargwa муиринский,Irichi,42.13548,47.791579999999996,Dargwa
Dargwa муиринский,Kalkni,42.17732,47.70499,Dargwa
Dargwa муиринский,Kischa,42.17677,47.58117,Dargwa
Dargwa муиринский,Kudagu,42.13322,47.730059999999995,Dargwa
Dargwa муиринский,Mallakent,42.174479999999996,47.796640000000004,Dargwa
Dargwa муиринский,Meusisha,42.20199,47.59731,Dargwa
Dargwa муиринский,Surkhachi,42.161429999999996,47.740829999999995,Dargwa
Dargwa муиринский,Trisanchi,42.118091,47.70559,Dargwa
Dargwa муиринский,Urkarakh,42.1606,47.6339,Dargwa
Dargwa муиринский,Kharbuk,42.158768,47.530832000000004,Dargwa
Dargwa муиринский,Tsizgari,42.21963,47.64768,Dargwa
Dargwa муиринский,Tsurai,42.23577,47.658190000000005,Dargwa
Dargwa муиринский,Chakhdikna,42.14116,47.76044,Dargwa
Dargwa муиринский,Chumli,42.20167,47.77306,Dargwa
Dargwa муиринский,Shulerchi,42.137440000000005,47.56335,Dargwa
Dargwa сев.,Adukmakhi,42.39928,47.401891,Dargwa
Dargwa сев.,Aymaumakhi,42.363756,47.575203,Dargwa
